;x;y;d;w;weight_density
426;1.0;5.0;28.0;1.0;0.40875527352997754
427;1.0;5.0;29.0;1.0;0.40875527352997754
428;1.0;5.0;30.0;1.0;0.40875527352997754
429;1.0;5.0;31.0;1.0;0.40875527352997754
430;1.0;5.0;32.0;1.0;0.40875527352997754
431;1.0;6.0;0.0;1.0;0.34000691771507263
432;1.0;6.0;1.0;1.0;0.34000691771507263
433;1.0;6.0;2.0;1.0;0.34000691771507263
434;1.0;6.0;3.0;1.0;0.34000691771507263
435;1.0;6.0;4.0;1.0;0.34000691771507263
436;1.0;6.0;5.0;1.0;0.34000691771507263
437;1.0;6.0;6.0;1.0;0.34000691771507263
438;1.0;6.0;7.0;1.0;0.34000691771507263
439;1.0;6.0;8.0;1.0;0.34000691771507263
440;1.0;6.0;9.0;1.0;0.34000691771507263
441;1.0;6.0;10.0;1.0;0.34000691771507263
442;1.0;6.0;11.0;1.0;0.34000691771507263
443;1.0;6.0;12.0;1.0;0.34000691771507263
444;1.0;6.0;13.0;1.0;0.34000691771507263
445;1.0;6.0;14.0;1.0;0.34000691771507263
446;1.0;6.0;15.0;1.0;0.34000691771507263
447;1.0;6.0;16.0;1.0;0.34000691771507263
448;1.0;6.0;17.0;1.0;0.34000691771507263
449;1.0;6.0;18.0;1.0;0.34000691771507263
450;1.0;6.0;19.0;1.0;0.34000691771507263
451;1.0;6.0;20.0;1.0;0.34000691771507263
452;1.0;6.0;21.0;1.0;0.34000691771507263
453;1.0;6.0;22.0;1.0;0.34000691771507263
454;1.0;6.0;23.0;1.0;0.34000691771507263
455;1.0;6.0;24.0;1.0;0.34000691771507263
456;1.0;6.0;25.0;1.0;0.34000691771507263
457;1.0;6.0;26.0;1.0;0.34000691771507263
458;1.0;6.0;27.0;1.0;0.34000691771507263
459;1.0;6.0;28.0;1.0;0.34000691771507263
460;1.0;6.0;29.0;1.0;0.34000691771507263
461;1.0;6.0;30.0;1.0;0.34000691771507263
462;1.0;6.0;31.0;1.0;0.34000691771507263
463;1.0;7.0;0.0;1.0;0.28906654428552697
464;1.0;7.0;1.0;1.0;0.28906654428552697
465;1.0;7.0;2.0;1.0;0.28906654428552697
466;1.0;7.0;3.0;1.0;0.28906654428552697
467;1.0;7.0;4.0;1.0;0.28906654428552697
468;1.0;7.0;5.0;1.0;0.28906654428552697
469;1.0;7.0;6.0;1.0;0.28906654428552697
470;1.0;7.0;7.0;1.0;0.28906654428552697
471;1.0;7.0;8.0;1.0;0.28906654428552697
472;1.0;7.0;9.0;1.0;0.28906654428552697
473;1.0;7.0;10.0;1.0;0.28906654428552697
474;1.0;7.0;11.0;1.0;0.28906654428552697
475;1.0;7.0;12.0;1.0;0.28906654428552697
476;1.0;7.0;13.0;1.0;0.28906654428552697
477;1.0;7.0;14.0;1.0;0.28906654428552697
478;1.0;7.0;15.0;1.0;0.28906654428552697
479;1.0;7.0;16.0;1.0;0.28906654428552697
480;1.0;7.0;17.0;1.0;0.28906654428552697
481;1.0;7.0;18.0;1.0;0.28906654428552697
482;1.0;7.0;19.0;1.0;0.28906654428552697
483;1.0;7.0;20.0;1.0;0.28906654428552697
484;1.0;7.0;21.0;1.0;0.28906654428552697
485;1.0;7.0;22.0;1.0;0.28906654428552697
486;1.0;7.0;23.0;1.0;0.28906654428552697
487;1.0;7.0;24.0;1.0;0.28906654428552697
488;1.0;7.0;25.0;1.0;0.28906654428552697
489;1.0;7.0;26.0;1.0;0.28906654428552697
490;1.0;8.0;0.0;1.0;0.459203349881702
491;1.0;8.0;1.0;1.0;0.459203349881702
492;1.0;8.0;2.0;1.0;0.459203349881702
493;1.0;8.0;3.0;1.0;0.459203349881702
494;1.0;8.0;4.0;1.0;0.459203349881702
495;1.0;8.0;5.0;1.0;0.459203349881702
496;1.0;8.0;6.0;1.0;0.459203349881702
497;1.0;8.0;7.0;1.0;0.459203349881702
498;1.0;8.0;8.0;1.0;0.459203349881702
499;1.0;8.0;9.0;1.0;0.459203349881702
500;2.0;0.0;0.0;1.0;0.20078937468990202
501;2.0;0.0;1.0;1.0;0.20078937468990202
502;2.0;0.0;2.0;1.0;0.20078937468990202
503;2.0;0.0;3.0;1.0;0.20078937468990202
504;2.0;0.0;4.0;1.0;0.20078937468990202
505;2.0;0.0;5.0;1.0;0.20078937468990202
506;2.0;0.0;6.0;1.0;0.20078937468990202
507;2.0;0.0;7.0;1.0;0.20078937468990202
508;2.0;0.0;8.0;1.0;0.20078937468990202
509;2.0;0.0;9.0;1.0;0.20078937468990202
510;2.0;0.0;10.0;1.0;0.20078937468990202
511;2.0;0.0;11.0;1.0;0.20078937468990202
512;2.0;0.0;12.0;1.0;0.20078937468990202
513;2.0;0.0;13.0;1.0;0.20078937468990202
514;2.0;0.0;14.0;1.0;0.20078937468990202
515;2.0;0.0;15.0;1.0;0.20078937468990202
